,X,Y,Z,pol
89,999.0,999.0,999.0,0.0
90,540154.151428,6425953.27478,1750.0,0.0
91,540154.151428,6425953.27478,1950.0,0.0
92,999.0,999.0,999.0,0.0
93,540179.040344,6426048.393188,1750.0,0.0
94,540179.040344,6426048.393188,1950.0,0.0
95,999.0,999.0,999.0,0.0
96,540203.929199,6426143.511719,1750.0,0.0
97,540203.929199,6426143.511719,1950.0,0.0
98,999.0,999.0,999.0,0.0
99,540224.627625,6426231.129761,1750.0,0.0
100,540224.627625,6426231.129761,1950.0,0.0
101,999.0,999.0,999.0,0.0
102,540245.32605,6426318.747681,1750.0,0.0
103,540245.32605,6426318.747681,1950.0,0.0
104,999.0,999.0,999.0,0.0
105,540266.024536,6426406.365601,1750.0,0.0
106,540266.024536,6426406.365601,1950.0,0.0
107,999.0,999.0,999.0,0.0
108,540286.7229,6426493.983643,1750.0,0.0
109,540286.7229,6426493.983643,1950.0,0.0
110,999.0,999.0,999.0,0.0
111,540307.421387,6426581.601563,1750.0,0.0
112,540307.421387,6426581.601563,1950.0,0.0
113,999.0,999.0,999.0,0.0
114,540342.816772,6426671.614746,1750.0,0.0
115,540342.816772,6426671.614746,1950.0,0.0
116,999.0,999.0,999.0,0.0
117,540378.212158,6426761.628174,1750.0,0.0
118,540378.212158,6426761.628174,1950.0,0.0
119,999.0,999.0,999.0,0.0
120,540413.607605,6426851.641113,1750.0,0.0
121,540413.607605,6426851.641113,1950.0,0.0
122,999.0,999.0,999.0,0.0
123,540449.00293,6426941.654541,1750.0,0.0
124,540449.00293,6426941.654541,1950.0,0.0
125,999.0,999.0,999.0,0.0
126,540484.398376,6427031.667725,1750.0,0.0
127,540484.398376,6427031.667725,1950.0,0.0
128,999.0,999.0,999.0,0.0
129,540519.793823,6427121.681152,1750.0,0.0
130,540519.793823,6427121.681152,1950.0,0.0
131,999.0,999.0,999.0,0.0
132,540555.189209,6427211.694336,1750.0,0.0
133,540555.189209,6427211.694336,1950.0,0.0
134,999.0,999.0,999.0,0.0
135,540590.584595,6427301.70752,1750.0,0.0
136,540590.584595,6427301.70752,1950.0,0.0
137,999.0,999.0,999.0,0.0
138,540625.97998,6427391.720703,1750.0,0.0
139,540625.97998,6427391.720703,1950.0,0.0
140,999.0,999.0,999.0,0.0
141,540653.20224,6427471.27002,1750.0,0.0
142,540653.20224,6427471.27002,1950.0,0.0
143,999.0,999.0,999.0,0.0
144,540680.4245,6427550.819336,1750.0,0.0
